state	value*	action*
4715 3181.56092008 3
4716 2868.66558296 1
4717 2894.94322070 1
4718 3238.13024075 2
4719 3113.13024077 1
4720 2994.45469970 3
4721 2910.06251828 1
4722 2656.81447441 1
4723 1651.57626362 1
4724 2779.84444234 3
4726 1465.79113582 1
4727 3506.17761873 3
4728 3452.88254956 3
4729 3334.68495177 3
4730 3268.70560229 3
4731 2977.53538114 1
4733 3028.12093337 3
4734 3028.12353768 3
4736 2356.06354480 4
4740 1111.88581094 1
4742 3243.41331688 5
4743 3164.44651898 2
4745 3093.44750304 2
4746 2566.73351914 4
4747 2862.03011627 3
4748 2919.68717941 5
4752 2397.71383498 4
4754 1858.87282890 5
4755 2058.59825201 3
4756 1531.02617694 1
4759 2004.27930481 2
4760 2559.91381399 4
4762 793.08143104 1
4763 1834.77207494 3
4765 2172.00646663 2
4766 161.42041383 1
4767 2289.75523513 4
4769 2260.11762592 2
4770 1734.94618220 3
4773 894.08327924 1
4777 320.20242344 1
5020 8806.67639191 1
5021 8806.05881644 1
5029 8137.92858466 1
5045 7504.15619842 1
5048 7504.15623707 1
5056 6902.67269978 1
5059 6901.16848815 1
5068 6332.41288952 1
5069 6330.99777075 1
5074 6957.51435463 3
5076 5783.43517485 1
5077 5793.65780946 1
5080 5793.68118657 1
5081 5794.46631282 1
5082 5794.48614408 1
5085 6578.47136469 2
5088 5280.16425579 1
5089 5270.83508179 1
5091 5255.31398242 1
5093 6310.61399277 4
5097 6247.72641899 3
5098 6187.42616029 2
5099 4769.68611175 1
5100 4773.37619041 1
5101 4785.85375801 1
5102 4785.59797505 1
5103 4770.38654561 1
5104 5724.23178867 2
5105 5672.57142990 2
5110 5162.29038391 1
5111 5643.59875325 2
5112 5518.59941835 1
5113 5529.10228593 3
5114 5349.39416034 1
5115 4307.65331838 1
5116 5597.46704794 3
5117 5318.31828042 4
5121 4158.13111461 1
5122 4159.28563066 1
5123 5176.78594845 3
5125 4575.51551619 1
5126 5323.23297760 4
5127 5279.60086638 3
5129 5180.90349691 3
5131 4829.72426972 4
5132 4777.91908917 2
5133 4922.50723847 3
5137 4051.15940716 1
5138 4151.11965463 1
5139 4282.62718013 1
5140 4994.34568137 3
5141 4612.39329957 5
5142 4594.58659176 5
5144 4492.12662606 4
5145 4493.62774703 3
5146 3869.96190424 1
5148 4153.88419293 3
5151 4229.58169595 3
5157 4207.41501772 3
5158 4203.67484848 3
5160 3723.69823205 5
5161 3751.30596539 3
5162 3882.82017913 3
5163 3862.94228406 4
5164 3690.56186783 3
5165 3886.48377703 3
5171 3965.45872909 3
5172 3959.81279692 3
5173 3229.36187087 1
5174 3430.26904060 3
5176 3546.06220755 3
5177 3402.11910959 3
5179 3520.96814490 3
5185 3733.36505331 3
5186 3737.66351226 4
5187 2722.17957195 1
5188 3170.08741903 3
5190 3247.15982279 4
5191 3240.46142792 2
5192 3178.42522846 4
5193 3163.98047381 3
5194 2785.03289152 1
5195 2586.52957324 1
5196 3762.61647603 1
5197 3574.23981792 1
5198 3574.23955222 1
5199 3511.09373222 3
5200 3511.75215025 3
5201 2745.90965184 5
5202 2912.83919795 4
5204 2878.53103573 2
5205 2952.25638840 5
5206 2822.87088347 5
5207 2822.10840054 3
5208 2538.48270882 1
5209 2213.05314446 1
5210 3344.28107555 1
5211 3146.99036059 1
5212 3146.98841085 1
5213 3279.85680376 3
5214 3266.12511889 4
5215 2463.81053941 4
5216 2664.23195326 5
5218 2644.12496405 3
5219 2646.51194164 5
5220 2488.12930407 3
5225 3505.50411744 3
5227 3484.48420326 3
5228 3482.09366202 3
5230 2811.18549699 2
5231 2365.97134953 1
5232 2682.05177512 1
5233 2711.18891090 1
5234 2646.31326024 3
5235 2467.56379297 1
5236 2409.49980267 1
5237 1752.18411931 1
5239 2467.04409154 3
5241 964.15112191 1
5242 3250.62299784 5
5243 3168.95262551 3
5245 2961.37321933 3
5246 2531.57541734 1
5247 2675.48926939 5
5248 2675.51460186 3
5249 2622.00858662 3
5250 2049.57616999 4
5251 2326.40255035 3
5256 2990.87075377 4
5257 517.52972818 1
5258 3035.29398450 3
5259 2883.47511858 4
5261 2240.43887877 5
5262 2629.57290054 3
5263 2482.99309430 3
5268 2299.21455133 2
5270 1722.93172239 3
5273 1627.30355023 5
5275 2235.77113754 3
5277 1630.00307855 4
5279 1732.77515301 5
5281 0.00000000 2
5282 1929.78403953 4
5284 2039.26594362 4
5287 1387.53233827 2
5290 763.19549096 2
5506 9507.78587585 1
5507 9507.04279779 1
5515 8804.38457896 1
5532 8137.92851922 1
5535 8137.92852558 1
5543 7505.90024557 1
5545 7504.15660363 1
5547 7504.15642078 1
5555 6904.37616570 1
5563 6329.64675206 1
5564 6336.17874602 1
5567 6336.06547900 1
5568 6337.46573482 1
5571 7037.50491643 4
5575 5795.21370879 1
5576 5789.48438848 1
5578 5779.32402950 1
5584 6611.55733061 3
5586 5266.92557956 1
5587 5268.35533612 1
5588 5276.95954570 1
5589 5267.05192454 1
5590 6150.50994146 2
5591 6092.91818571 5
5593 6239.34006789 4
5597 5692.99744415 1
5598 6066.29999864 1
5600 5895.46366119 3
5601 5884.28161731 5
5602 4779.28119299 1
5603 5935.71514309 3
5605 5681.72429258 3
5608 4625.87872960 1
5610 5524.72654931 3
5611 4774.45655233 1
5612 5615.37819266 4
5613 5340.88715583 1
5614 5548.27488976 4
5615 5503.23731377 4
5617 5099.70764858 3
5619 5170.03487067 5
5620 5226.17857756 3
5621 4415.89980699 1
5624 4590.85403708 1
5626 5285.93704983 3
5628 4898.08964594 5
5631 4807.89010446 4
5632 4380.33785581 1
5634 4528.13014119 3
5636 4315.07926450 4
5637 4512.76645238 2
5638 4540.08649655 3
5642 4571.80152796 3
5643 4326.10051180 4
5644 4467.83014948 3
5645 4445.85215190 3
5647 4029.22178037 3
5648 4042.26510654 4
5649 4220.45880801 3
5650 3967.43501336 2
5653 4125.13958113 3
5654 4103.60885843 3
5658 4020.20868208 3
5659 3814.75942311 1
5660 3748.13111829 4
5661 3695.43009300 2
5662 3807.81876745 2
5665 3771.98914369 4
5666 3818.38511841 3
5667 3796.32477392 3
5669 3681.32787282 3
5670 3659.04679484 3
5671 3579.89746847 5
5672 3780.75491586 3
5674 3328.80600680 2
5675 3469.30209352 2
5678 3390.59900927 3
5680 3499.43140294 3
5681 3476.14569033 3
5683 3447.94629862 3
5685 3543.46006771 3
5688 3053.70638954 2
5689 3195.08741902 4
5691 3144.81377788 3
5693 3168.03418341 3
5694 3144.16113575 3
5695 3170.45785383 3
5696 3218.16585319 3
5697 3223.13047479 3
5699 3303.39857847 3
5701 2222.16646673 1
5702 2911.58919481 3
5703 2753.53103576 1
5705 2839.44280425 5
5707 2827.31459675 3
5708 2810.04975841 3
5709 2838.49348107 3
5713 3296.20098642 3
5714 3266.91362923 3
5716 2688.04440325 4
5717 2627.75505716 3
5718 2644.12493317 3
5719 2571.51194166 2
5720 2321.84891116 1
5721 2492.54943922 3
5722 2514.28349461 5
5723 1857.12630781 1
5724 2945.89489290 1
5725 2726.97343539 1
5726 3059.66909192 3
5727 3065.24491124 3
5728 3018.15858779 5
5729 2348.58397553 5
5730 2256.83770836 1
5731 2405.76844374 5
5732 2418.88853615 3
5733 2362.54309385 3
5734 2202.06362148 4
5739 3295.05473374 3
5741 3254.14139841 3
5742 3250.62299784 3
5744 2420.53384296 2
5745 1859.97700402 1
5746 2300.84741156 2
5747 2635.73439287 2
5748 2293.82548580 3
5749 2047.59517780 1
5750 1895.23053585 1
5751 1111.66189751 1
5752 2153.20814520 3
5755 655.93529345 1
5756 3024.55978192 5
5757 2928.16556515 5
5759 2647.34756885 3
5761 2355.79258039 4
5762 2536.27044518 2
5763 2306.80746902 4
5765 1982.80926989 4
5767 1950.54522644 2
5770 2718.45166803 4
5771 12.80325949 1
5772 2794.29081522 3
5773 2632.97701567 5
5776 2325.44676543 5
5777 2126.61871522 3
5780 0.00000000 2
5781 1904.78403953 3
5782 1952.50370480 5
5783 1823.24813437 2
5784 1421.35928927 3
5788 438.88227750 1
5790 457.59691554 1
5791 0.00000000 2
6002 9505.44885401 1
6019 8804.38457324 1
6021 8804.38457391 1
6030 8139.89948768 1
6033 8137.92854945 1
6054 6905.25576095 1
6055 6908.27097200 1
6060 7357.18058207 2
6063 6334.02998256 1
6065 6326.97652760 1
6071 6993.32486965 3
6072 5787.09764617 1
6073 5786.67746912 1
6075 5792.47029718 1
6076 5786.71637747 1
6077 6591.66525048 5
6078 5779.28409658 1
6080 6653.32523247 5
6084 6244.10935726 1
6085 6634.11272336 3
6087 6244.12938068 4
6088 5834.94583346 1
6089 5272.93767610 1
6092 6024.99488974 2
6094 5110.20844913 1
6095 5111.00405105 1
6098 5318.47695876 1
6099 5794.06689443 3
6100 5868.87717043 3
6101 5785.71438309 2
6102 5809.29267656 2
6103 5627.52280149 5
6104 5404.93956169 2
6106 5544.53977133 4
6108 4945.47930303 1
6110 5324.72543698 1
6113 5592.68796310 3
6114 5586.08886613 3
6115 5224.65349046 3
6118 5102.45036348 5
6119 4909.06072380 1
6121 4880.94049780 3
6124 4931.48950140 5
6125 4881.58432187 3
6128 4922.92596288 4
6130 4730.47932667 3
6131 4736.43925630 3
6132 4719.36892314 3
6134 4318.24432660 4
6135 4556.59497379 3
6136 4290.07129597 5
6138 4313.30927267 5
6139 4423.20783894 3
6140 4401.84532946 3
6142 4101.10028157 1
6143 4297.14092354 3
6145 4262.05853793 1
6147 4029.14376442 3
6148 3515.09445781 5
6149 3927.44343503 2
6150 3844.22598811 3
6151 4006.93171785 3
6152 4050.12482953 2
6154 3343.22415559 4
6155 3592.62488606 5
6156 3924.74530289 3
6157 3926.05944122 3
6158 3821.87755187 3
6161 3369.87158588 3
6163 3501.39714757 3
6164 3483.23306252 2
6165 3704.34094860 3
6167 3154.54719863 4
6168 3347.95342090 3
6169 3707.19122414 3
6170 3687.90431941 3
6171 3579.89746847 3
6172 2880.59092075 1
6174 2982.97627829 3
6175 3307.74023900 5
6176 3141.71927470 3
6177 3260.25618494 3
6181 2904.23735353 1
6182 3265.04973251 1
6183 3478.35488450 3
6184 3345.39563423 3
6185 3145.39563427 1
6186 3348.11148822 1
6188 3015.53151354 2
6189 3085.12798301 2
6190 2971.37692182 3
6194 2611.07266264 2
6195 2831.66815469 1
6196 3269.69267177 3
6197 3252.38396974 3
6198 3235.97627566 2
6199 2920.97634995 1
6201 2836.65328438 4
6202 2852.42894545 4
6203 2697.38110242 3
6205 2827.09759834 3
6207 2425.58034579 5
6209 3050.35493191 3
6210 3056.52555317 5
6211 2992.95406309 3
6212 3052.89864539 3
6214 2654.23760237 3
6215 2629.88595222 4
6216 2596.73573239 3
6217 2309.00513527 1
6218 2505.78500386 3
6221 2482.46304248 3
6222 2488.67959822 3
6223 2838.51582949 3
6224 2760.46015318 3
6226 2806.31462018 3
6229 2492.29267564 4
6230 2369.54204651 2
6231 2418.88807589 3
6232 2418.88807589 3
6234 1819.39729551 1
6235 2178.92341919 3
6236 2234.29189427 4
6239 3078.35923245 1
6240 2860.17004404 3
6241 3057.09619410 1
6242 2560.38987169 1
6243 2138.20902628 3
6244 2325.55231883 1
6245 2207.96701820 3
6246 2242.97262114 1
6248 2132.85990813 1
6251 1201.78177370 1
6252 3072.87520734 3
6253 3076.18842199 3
6255 3049.55978191 4
6256 3014.92676541 3
6257 2946.68880795 3
6258 2447.34756889 1
6259 2447.34756889 1
6260 2037.75322981 1
6261 2296.72800594 3
6264 1719.41163520 3
6269 2781.85351354 5
6270 2706.52134337 4
6272 2819.25360868 4
6273 2558.07342092 2
6275 2094.11988471 2
6276 2363.44490685 4
6282 1952.50370480 3
6284 1340.31797906 2
6286 2535.93087376 5
6287 1202.33100148 2
6288 1935.43208286 4
6291 1405.92208207 4
6293 1236.65999481 2
6294 0.00000000 2
6295 1524.86247129 5
6298 1599.57558523 2
6300 1124.70270227 4
6304 441.76439075 3
6506 9505.44885376 1
6509 9505.44885379 1
6517 8806.55211170 1
6520 8804.38457595 1
6532 8137.92856986 1
6541 7506.17304142 1
6542 7506.89703127 1
6548 7854.48019735 4
6550 6902.95591964 1
6551 6907.13108945 1
6552 6901.16833086 1
6554 6907.47304442 1
6558 7414.32265037 4
6560 6332.68345791 1
6561 6332.39147503 1
6562 6337.34007742 1
6563 6331.83476983 1
6565 6326.96574842 1
6571 6918.87068419 2
6572 7019.30106843 3
6574 5784.41851344 1
6575 6392.99414533 1
6576 5790.88303354 1
6579 6458.44105661 5
6580 6578.32322002 2
6582 5622.92537970 1
6585 6329.48198463 5
6586 5724.77823170 1
6587 6219.13211199 3
6589 6231.15592881 2
6590 6285.29873719 3
6591 5800.21850073 4
6594 5867.70948984 3
6595 5482.71266486 1
6597 5875.73725587 3
6599 5918.54700150 4
6601 5914.43055187 3
6605 5446.42376503 3
6606 5446.42431674 3
6608 5221.44635776 3
6611 5269.54657598 4
6612 5217.83267773 3
6615 5218.83684333 3
6618 5013.75699704 3
6619 5002.51815881 3
6621 4519.40914176 5
6622 4890.50752218 3
6623 4566.39915657 4
6627 4696.45204903 3
6629 3955.21562730 1
6630 4570.73363519 4
6631 4545.73200853 3
6632 4361.70531254 2
6633 4212.61034607 2
6635 4066.70914149 3
6636 4232.24357773 3
6637 4169.87396848 3
6639 4300.56264269 3
6641 3535.75454285 5
6642 3839.96031106 2
6643 4061.57110664 3
6644 4068.42967664 3
6645 4087.96961667 3
6646 3756.35959042 1
6647 3518.30539335 3
6648 3730.15765728 3
6649 3865.74397096 2
6651 3626.87989928 4
6652 3654.25350645 3
6653 3655.61212785 3
6655 3254.53156018 1
6656 3501.44536722 1
6657 3634.64561419 1
6658 3621.87755191 1
6659 3311.68450693 1
6660 3268.45348870 3
6661 3506.82604260 3
6662 3544.48815629 3
6663 3343.23640549 3
6665 3427.31850695 3
6666 3429.19818211 3
6667 2802.13314220 1
6668 3038.80478490 5
6669 3096.12102449 1
6670 3221.26332226 1
6671 3253.44028576 3
6673 3010.62655490 3
6674 3299.23444150 3
6675 3335.21443976 3
6676 3082.81168073 3
6678 3205.39989287 3
6679 3207.89278041 3
6680 2573.34416524 1
6681 2824.50301037 3
6682 3016.46279298 3
6683 3004.63106981 3
6684 2901.44462252 2
6685 2460.96099421 1
6687 3101.30522463 3
6688 3133.32559201 3
6689 2812.94777357 3
6691 3018.46613043 4
6692 2990.04841459 3
6694 2636.30301406 4
6695 2840.25405602 4
6696 2794.14838781 3
6697 2455.87458072 1
6698 2049.92030557 1
6699 3120.97634991 3
6700 2928.02143117 4
6701 2940.66192947 3
6702 2531.44548234 3
6704 2826.44001837 4
6705 2773.23222920 3
6707 2225.58034583 1
6708 2565.26152863 2
6710 2978.50900886 2
6711 2794.27967139 1
6712 2885.03086696 3
6713 2733.07853332 3
6716 2361.32785421 2
6717 2606.51457724 5
6718 2554.28426873 3
6720 2222.45946930 3
6722 2829.85798372 3
6723 2865.34227853 4
6724 2685.46013095 2
6725 2820.23662128 5
6727 2469.36059107 5
6728 2222.88162776 1
6729 2255.37440380 2
6730 2395.41267083 5
6731 2184.53063998 3
6734 2138.96002726 3
6735 2190.45411338 3
6736 2655.14590908 5
6737 2556.08917752 1
6738 2557.33984069 5
6739 2624.98327370 1
6742 2321.99701906 4
6743 2168.05829170 3
6745 2232.96365050 4
6746 2145.95965484 2
6747 1867.58508442 2
6748 1884.82247675 3
6749 1875.64776180 2
6752 2656.03989182 1
6755 2634.56066674 1
6756 1897.74756994 3
6757 1841.43863229 1
6758 2064.30344481 3
6759 1896.56644826 2
6761 2096.72800598 1
6762 1943.51721538 3
6763 1601.35284747 1
6764 582.74659688 1
6766 1833.97388627 3
6768 287.44977922 1
6769 2781.85351352 5
6770 2724.96509986 4
6771 2514.79463342 1
